"Title","Type","Location","Logo","Phone","Fax","Mobile Phone","Member"
"Natural Gardener","EcoBusiness","
  
          Natural Gardener
              
        8648 Old Bee Caves Road              
              Austin,               TX
              78735
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/NGLOGO_color_1.jpg","(512) 288-6113","(512) 288-6114","",""
"Green Fern Events","EcoBusiness","
  
          Place of business 
              
        1401 Terrapin Ct. Suite B              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/GreenFernEventslogo.png","(512) 712-4833","","","Emily Kahn"
"Bamboo Logic Consulting & Landscape Solutions","EcoBusiness","
  
          Bamboo Logic Consulting & Landscape Solutions
              
        1501 Hartford Road              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 350-8505","","",""
"Eco Shoppe - Green Ideas For Healthy Living","EcoBusiness","
  
          Eco Shoppe
              
        10225 Research Blvd., Suite 950              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 795-7364","(512) 342-7910","",""
"Green $elf","EcoCommunity - non-profits, government agencies and community groups.","
  
          Westbank Community Library
              
        1309 Westbank Drive              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","","","",""
"Meridian Solar","EcoBusiness","
  
          Meridian Solar
              
        4109 Todd Lane, Suite 900              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/MSIlogo.large__0.jpg","(512) 448-0055","(512) 448-0045","",""
"PlantEscape Gardens","EcoBusiness","
  
          PlantEscape Gardens and Diaz Gallery
              
        3507 South 1st St.                   (3 blocks North of Ben White at Alpine Rd)              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/PlantEscapeLogo.jpg","(512) 444-0013","(512) 444-0013","",""
"Southwest Septic Loo, Inc.","EcoBusiness","
  
          Southwest Septic Loo, Inc.
              
        2005 FM 1704              
              Elgin,               TX
              78621
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/office_format_logo-1.jpg","(512) 285-9494(512) 848-3333","(512) 281-3436","","Jeri Witta"
"Urban Roots","EcoCommunity - non-profits, government agencies and community groups.","
  
          Urban Roots at Hands of the Earth Farm
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ur_simple-small_w-_tag.jpg","","","",""
"Tribe Creative Agency","EcoBusiness","
  
          Tribe Creative Agency
              
        1012 E. 38 1/2 St.              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 501-4366","(512) 501-4366","",""
"Camp Fire USA Balcones Council","EcoCommunity - non-profits, government agencies and community groups.","
  
          Camp Fire USA Balcones Council
              
        1603 E. 38 1/2 St.              
              Austin,               TX
              78722
                                          
      
      See map: Google Maps    
  ","","(512) 349-2111(512) 454-1237","(512) 454-1237","",""
"Innovative Water Solutions LLC","EcoBusiness","
  
          Office
              
        501 W. Powell Ln., Ste. 202              
              Austin,               TX
              78753
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/IWS-logo-large.jpg","(512) 490-0932(866) 497-7246","(512) 727-6667","",""
"Urban Patchwork","EcoCommunity - non-profits, government agencies and community groups.","","","(512) 573-7812","","",""
"BuyBart.com","","","","","","",""
"Nature's Wash","EcoBusiness","","sites/default/files/org_logos/logo.jpg","(512) 736-0936","","",""
"NadaMoo!","EcoBusiness","
  
              
        3112 Windsor Road #A-138              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 383-0606","","",""
"Muller Central","EcoBusiness","
  
          Mueller Central
              
        4550 Muller Blvd.              
              Austin,               TX
              78723
                                          
      
      See map: Google Maps    
  ","","(512) 703-9202","","",""
"MYKA","EcoBusiness","
  
          Escarpment Village Shopping Center
              
        5800 SlaughterLane #300              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","","(512) 706-9557","","",""
"E3 Properties LLC","EcoBusiness","
  
              
        4509 Avenue A              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/e3.jpg","(512) 293-3266","","",""
"National Wildlife Federation","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        44 East Avenue Ste 200              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 476-9805","","",""
"Natural Based Home Care","EcoBusiness","
  
              
        10304 Yellowstone Dr              
              Austin,               TX
              78747
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/natural_based.jpg","(512) 280-6852","","",""
"Nature's Healing Herbs","EcoBusiness","
  
                  Austin,               TX
              78750
                                          
      
      See map: Google Maps    
  ","","(512) 626-8190","","",""
"Nelo's Pro Cycles","EcoBusiness","
  
              
        3010-H West Anderson              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","","(512) 338-0505","","",""
"My Green Casa","EcoBusiness","","sites/default/files/org_logos/LogoMedium.png","(512) 560-1311","","","amye"
"Neptune Society","EcoBusiness","
  
              
        911 W. Anderson Ln.              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo_neptune_society.png","(512) 323-0122","","",""
"New Urban Home Builders","EcoBusiness","
  
              
        8821 Mountain Shadows Cove               
              Austin,               TX
              78735
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/newurban.gif","(512) 626-0360","","",""
"The Weatherized Homes Initiative","EcoBusiness","
  
              
        3005 S. Lamar Blvd.                   Ste. D109-289              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 297-5428","","",""
"New Zealand Natural Interiors","EcoBusiness","
  
              
        PO Box 684714              
              Austin,               TX
              78768
                                          
      
      See map: Google Maps    
  ","","(888) 823-6480","","",""
"34th Street Cafe","EcoBusiness","
  
              
        1005 W. 34th St.              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 371-3400","","",""
"Music City Cycles","EcoBusiness","
  
              
        6301 W. Parmer Ln. Suite #504              
              Austin,               TX
              78729
                                          
      
      See map: Google Maps    
  ","","(512) 336-2453","","",""
"Nick Mehl Architecture","EcoBusiness","
  
              
        2509 South 5th              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/nickmehl.jpg","(512) 482-0922","","",""
"Mud Outdoor Center","EcoBusiness","
  
              
        3827 Ranch Road 620 South Suite C              
              Bee Cave,               TX
              78738
                                          
      
      See map: Google Maps    
  ","","","","",""
"Nine Sixty Nine","EcoBusiness","
  
              
        7312 Annette Cove              
              Austin,               TX
              78724
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/vicinia_development_logo.gif","(512) 927-2626","","",""
"Green Living LLC","EcoBusiness","
  
              
        900 RR 620 S.                   Suite C-101 #104              
              Austin,               TX
              78734
                                          
      
      See map: Google Maps    
  ","","","","",""
"Novastar Energy","EcoBusiness","
  
              
        3435 Salado Creek Dr              
              Austin,               TX
              78217
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/nve.jpg","(210) 391-4009","","",""
"MTH Green Homes","EcoBusiness","
  
              
        11740 Jollyville Rd . Ste 100              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 284-9045","","",""
"NUI Organics","EcoBusiness","
  
              
        PO Box 684714              
              Austin,               TX
              78768
                                          
      
      See map: Google Maps    
  ","","(888) 823-6480","","",""
"Oasis Gardens","EcoBusiness","
  
              
        6605 West Creekview Drive              
              Austin,               TX
              78736
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/oasis_garden.gif","(512) 288-3456","","",""
"Mountain Madness","EcoBusiness","
  
              
        1116 Redbud Trail              
              West Lake Hills,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","","","",""
"Oasis Gardens Farm CSA","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        7651 Delwau Ln              
              Austin,               TX
              78725
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/farmlogo.png","(512) 389-3835","","",""
"A Recycling Revolution","EcoCommunity - non-profits, government agencies and community groups.","
  
                                                          
      
      See map: Google Maps    
  ","","","","",""
"Ocean Conservancy Gulf of Mexico Regional Office","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        106 E. 6th St.              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 542-3331","","",""
"A Simple Delight","EcoBusiness","
  
              
        208 N. King St              
              Seguin,               TX
              78156
                                          
      
      See map: Google Maps    
  ","","(512) 376-8390(830) 660-4612","","",""
"Old Texas Floors","EcoBusiness","
  
              
        6614 Hergotz Lane              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 694-1322","","",""
"A Wild Soap Bar","EcoBusiness","
  
              
        21407 Union Lee Church Rd              
              Manor,               TX
              78653
                                          
      
      See map: Google Maps    
  ","","(512) 272-4058","","",""
"Montesino Farm & Ranch","EcoBusiness","
  
                  Wimberley,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 847-7393","","",""
"Olive Green Dog","EcoBusiness","
  
              
        8705 Shoal Creek Blvd. Suite 203              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/olive.jpg","(877) 654-8355","","",""
"A1 Stun","EcoBusiness","
  
              
        106 E. 6th St.              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","","","",""
"Oma's Garten Pflanzen","EcoBusiness","
  
              
        2301 Old FM 440 Rd              
              Austin,               TX
              76549
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/topmast.gif","(254) 526-8792","","",""
"Mod Green Pod","EcoBusiness","
  
              
        1507 W. Koenig Lane              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 524-5196","","",""
"ABC Services","EcoBusiness","
  
              
        11754 Jollyville Road              
              Austin,               TX
              78753
                                          
      
      See map: Google Maps    
  ","","(512) 837-9500","","",""
"Ablebody Acupuncture & Chinese Medicine Clinic","EcoBusiness","
  
              
        11754 Jollyville Rd                   Suite 102              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 587-3338","","",""
"Mellow Johnny's","EcoBusiness","
  
              
        400 Nueces St              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 473-0222","","",""
"Academy of Oriental Medicine","EcoBusiness","
  
              
        2700 W Anderson Ln #204              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","","(512) 492-3001(512) 492-3060","","",""
"Adventure Alliance","EcoBusiness","
  
              
        1619 College St.              
              Georgetown,               TX
              78626
                                          
      
      See map: Google Maps    
  ","","(512) 657-1589","(512) 864-9588","",""
"Advantage Metal Roofs","EcoBusiness","
  
              
        111 Ramble Ln #107              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 416-7663","","",""
"Agasweet","EcoBusiness","
  
              
        PO Box 29743              
              Austin,               TX
              78755
                                          
      
      See map: Google Maps    
  ","","(512) 442-6083","","",""
"Aihu","EcoBusiness","","","(512) 687-4093","","",""
"Alen Corporation","EcoBusiness","
  
              
        5114 Balcones Woods Dr. Ste. 307-299              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 436-0457","","",""
"Alien Scooters","EcoBusiness","
  
              
        1122 S. Lamar Blvd.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 447-4220","","",""
"Alford Steel Homes","EcoBusiness","
  
              
        110 Avenue H. Suite 114              
              Marble Falls,               TX
              78654
                                          
      
      See map: Google Maps    
  ","","(830) 693-8805","","",""
"AirDynamics","EcoBusiness","","","(512) 576-2182","","",""
"All Natural","EcoBusiness","","","(512) 803-0721","","",""
"Alpine Solar Control","EcoBusiness","
  
              
        12609 Dessau Road. #449.              
              Austin,               TX
              78754
                                          
      
      See map: Google Maps    
  ","","(512) 470-7010","","",""
"Allied Energy Systems","EcoBusiness","
  
              
        1903 Westridge              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 443-4466","","",""
"Alternatives for Animal Health","EcoBusiness","","","(512) 288-5400","","",""
"Alvin Dedeaux Fly Fishing","EcoBusiness","
  
                  Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 663-7945","","",""
"Almost Perfect Remodeling","EcoBusiness","
  
              
        8503 Tyhurst Drive              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","","(512) 445-4470","","",""
"American Apparel","EcoBusiness","
  
              
        1325 S. Congress Ave.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 441-1400","","",""
"American Rainwater Catchment System Association","EcoBusiness","
  
              
        919 Congress Ave.              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 477-9490","(512) 617-6528","",""
"Amity's Alchemy","EcoBusiness","","","(888) 264-8988","","",""
"Amtech Mechanical","EcoBusiness","
  
              
        3404 Andtree Blvd              
              Austin,               TX
              78724
                                          
      
      See map: Google Maps    
  ","","(512) 252-1126","","",""
"American Scooter Center","EcoBusiness","
  
              
        13804 Dragline Dr              
              Austin,               TX
              78728
                                          
      
      See map: Google Maps    
  ","","(512) 989-3116","","",""
"Angel Valley Organic Farm","EcoBusiness","
  
              
        18405 Angel Valley Dr.              
              Leander,               TX
              78641
                                          
      
      See map: Google Maps    
  ","","(512) 267-2785","","",""
"America's Finest Carpet Cleaners","EcoBusiness","
  
              
        12206 Jekel Circle              
              Austin,               TX
              78727
                                          
      
      See map: Google Maps    
  ","","(512) 918-2786","(512) 258-5316","",""
"Live Green in Austin","EcoBusiness","
  
              
        12008 Verchota Drive              
              Austin,               TX
              78748
                                          
      
      See map: Google Maps    
  ","","(512) 762-0923","","",""
"JBGoodwin Realtors, Anna Uliassi","EcoBusiness","
  
              
        3933 Steck                   B-110              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","","","",""
"Stanberry & Assoc, Annie Bright","EcoBusiness","
  
          1101 S. Cap of Tx Hwy. F-100
                  Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","","","",""
"Apple Annies","EcoBusiness","
  
              
        221 West 6th St.                   Suite B-100              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","","","",""
"Aquarelle","EcoBusiness","
  
              
        606 Rio Grande              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","","","",""
"Area Wide Chimney Sweep","EcoBusiness","
  
              
        4711 Spicewood Springs Rd              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 323-0698","","",""
"Aroma-Chic Cleaning","EcoBusiness","","","(512) 965-4449","","",""
"Arrowhead Asset Management","EcoBusiness","
  
              
        256 Blanco Dr.              
              Wimberley,               TX
              78676
                                          
      
      See map: Google Maps    
  ","","","","",""
"Artisan Builders","EcoBusiness","
  
              
        19209 Adrian Way              
              Jonestown,               TX
              78645
                                          
      
      See map: Google Maps    
  ","","(512) 699-8775","","",""
"Articulture Designs","EcoBusiness","","","(512) 762-5228","","",""
"Aspire Climbing Club","EcoBusiness","
  
              
        11008 Jollyville Rd. #219              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","","","",""
"ASTI Trattoria","EcoBusiness","
  
              
        408 C East 43rd St              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 451-1218","","",""
"Austin Baby Store","EcoBusiness","
  
              
        701 S Lamar Blvd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 448-0118","","",""
"At Home in Austin","EcoBusiness","
  
              
        P.O. Box 2649              
              Wimberley,               TX
              78676
                                          
      
      See map: Google Maps    
  ","","","","",""
"Audrey Pudder Realty","EcoBusiness","
  
              
        17120 Westview Trail              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 925-9720","","",""
"Austin Candle Company","EcoBusiness","","","","","",""
"Austin Absolute Realty, Lora Herring","EcoBusiness","
  
              
        80 Red River Rd.              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 626-4848","","",""
"Austin CarShare","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        611 S. Congress Suite 200              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 448-4477","","",""
"Austin City Living, Paul Anderson","EcoBusiness","
  
              
        1145 West 5th St Ste 101              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 351-9280","","",""
"Austin Canoe & Kayak","EcoBusiness","
  
              
        9705 Burnet Rd. #102              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 719-4386","","",""
"Austin Cleaners","EcoBusiness","
  
              
        7318 McNeil Rd.                   Ste. 104              
              Austin,               TX
              78729
                                          
      
      See map: Google Maps    
  ","","(512) 219-6959","","",""
"Austin Community College Solar Energy Installer Training","EcoBusiness","
  
              
        5930 Middle Fiskville Rd.              
              Austin,               TX
              78752
                                          
      
      See map: Google Maps    
  ","","(512) 223-7000","","",""
"Austin EcoSchool","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        2901 Manchaca Road              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 447-8516","","",""
"Austin Energy: Green Choice","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        721 Barton Springs Rd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 482-5300","","",""
"Austin Green Art","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        5215 Jim Hogg Road              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/aga_logo.jpg","(512) 743-4245","","",""
"Austin Natural Soap","EcoBusiness","
  
              
        501 W. Annie St.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 394-1541","","",""
"Austin Hypno-Wellness Center","EcoBusiness","
  
              
        1408 W. Koenig Lane. Suite D              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","","","",""
"Austin Nature and Science Center","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        301 Nature Center Dr.              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 327-8181","","",""
"Austin Java","EcoBusiness","
  
              
        301 West 2nd Street. Ste. 100              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 481-9400","","",""
"Austin Paddling Club","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        P.O. Box 300388              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","","","",""
"Aztec Pest Control","EcoBusiness","
  
                  Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 443-0123","","",""
"Austin Fine Properties","EcoBusiness","
  
              
        1201 Baylor St.              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 477-8884","","",""
"Austin Yellow Bike Project","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        1720 East 12th Street              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","","","",""
"Austin Waldorf School","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        8700 S. View Rd.              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 288-5942","","",""
"Axcess Technologies","EcoBusiness","
  
              
        4801 Freidrich Ln.              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","","(512) 441-1100","","",""
"Austin Pets Alive","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        P.O. Box 6247              
              Austin,               TX
              78762
                                          
      
      See map: Google Maps    
  ","","(512) 961-6519","","",""
"Baby Earth","EcoBusiness","
  
              
        21 Cypress Blvd: Ste 1110              
              Austin,               TX
              78665
                                          
      
      See map: Google Maps    
  ","","(512) 275-6939","","",""
"Baraka Foods","EcoBusiness","","","(512) 441-5667","","",""
"Austin School of Herbal Studies","EcoBusiness","
  
              
        8803 Bear Creek Dr              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 301-5838","","",""
"Austin Segway Tours","EcoBusiness","
  
              
        49 East Avenue              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 699-6051","","",""
"Barefoot Botanicals","EcoBusiness","","","(800) 250-4718","","",""
"Austin Skye Wellness","EcoBusiness","
  
              
        9070 Research Boulevard Suite 105              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 380-1279","","",""
"Austin Solar AC","EcoBusiness","
  
              
        108 Wild Basin Rd. Suite #215              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 306-8476","","",""
"Barley & Pfeiffer Architects","EcoBusiness","
  
              
        1800 W 6th St.              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 476-8580","","",""
"Austin Tri-Cyclist","EcoBusiness","
  
              
         923 Barton Springs Rd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 494-9252","","",""
"Barnison Farm","EcoBusiness","
  
              
        9116 Highway 183 South              
              Austin,               TX
              78747
                                          
      
      See map: Google Maps    
  ","","(512) 964-3136","","",""
"Austin Yummy Yogurt","EcoBusiness","
  
              
        6215 Manchaca Rd. Building D              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","","","",""
"BerryClean","EcoBusiness","
  
              
        100 Michael Angelo Way, Ste 400 D              
              Austin,               TX
              78728
                                          
      
      See map: Google Maps    
  ","","(877) 899-0099","","",""
"Bastrop 1832 Farmers Market","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        1304 Chestnut Street              
              Bastrop,               TX
              78602
                                          
      
      See map: Google Maps    
  ","","(512) 360-4799","","",""
"Bessence Candles","EcoBusiness","
  
              
        500 West 6th Street              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 477-2377","","",""
"Bastrop Cattle Company","EcoBusiness","
  
                  Bastrop,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 321-2725","","",""
"Betsy Ross Grass Fed Beef","EcoBusiness","
  
              
        410 CR 493              
              Taylor,               TX
              76574
                                          
      
      See map: Google Maps    
  ","","(512) 862-3240","","",""
"Bastrop Gardens","EcoBusiness","
  
              
        316 Old 71 Hwy              
              Cedar Creek,               TX
              78612
                                          
      
      See map: Google Maps    
  ","","(512) 303-5672","","",""
"Sky Realty","EcoBusiness","
  
              
        607 Thrush Drive              
              Leander,               TX
              78641
                                          
      
      See map: Google Maps    
  ","","(512) 785-5050","","",""
"Betty Stieffert of Stanberry & Associates","EcoBusiness","
  
              
        400 Hwy 290 West. #101              
              Dripping Springs,               TX
              78620
                                          
      
      See map: Google Maps    
  ","","(512) 894-3488","","",""
"Big Wheel Cycles","EcoBusiness","
  
              
        702 West 24th Street              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 472-4447","","",""
"Billy's On Burnet","EcoBusiness","
  
              
        2105 Hancock Dr              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 407-9305","","",""
"Bastrop Producers Market","EcoBusiness","
  
              
        977 Hwy 71W              
              Bastrop,               TX
              78602
                                          
      
      See map: Google Maps    
  ","","","","",""
"Bat Conservation International","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        P.O. Box 162603              
              Austin,               TX
              78716
                                          
      
      See map: Google Maps    
  ","","(512) 327-9721","","",""
